import time: self [us] | cumulative | imported package
import time:       284 |        284 |   _io
import time:        70 |         70 |   marshal
import time:      1346 |       1346 |   posix
import time:      1932 |       3630 | _frozen_importlib_external
import time:      3330 |       3330 |   time
import time:      1060 |       4389 | zipimport
import time:       430 |        430 |     _codecs
import time:      2531 |       2960 |   codecs
import time:      2433 |       2433 |   encodings.aliases
import time:      2891 |       8283 | encodings
import time:       667 |        667 | encodings.utf_8
import time:       248 |        248 | _signal
import time:       164 |        164 |     _abc
import time:      1354 |       1517 |   abc
import time:      1284 |       2801 | io
import time:       159 |        159 |       _stat
import time:      2158 |       2317 |     stat
import time:      5303 |       5303 |     _collections_abc
import time:       492 |        492 |       genericpath
import time:       949 |       1441 |     posixpath
import time:      2609 |      11668 |   os
import time:       721 |        721 |   _sitebuiltins
import time:      4070 |       4070 |   _distutils_hack
import time:      1498 |       1498 |   types
import time:      2124 |       2124 |       warnings
import time:      2138 |       4261 |     importlib
import time:       683 |        683 |     importlib._abc
import time:       240 |        240 |         itertools
import time:       826 |        826 |         keyword
import time:      4035 |       4035 |           _operator
import time:       991 |       5026 |         operator
import time:      1430 |       1430 |         reprlib
import time:       199 |        199 |         _collections
import time:      2884 |      10602 |       collections
import time:       602 |        602 |         _functools
import time:      4013 |       4615 |       functools
import time:      2394 |      17609 |     contextlib
import time:      1658 |      24209 |   importlib.util
import time:      2113 |       2113 |   importlib.machinery
import time:       360 |        360 |   sitecustomize
import time:       229 |        229 |   usercustomize
import time:     26212 |      71076 | site
import time:      1016 |       1016 | runpy
import time:       663 |        663 |   transcriptx
import time:      1151 |       1814 | transcriptx.cli
import time:      3116 |       3116 |       enum
import time:       156 |        156 |         _sre
import time:      3514 |       3514 |           sre_constants
import time:      1876 |       5389 |         sre_parse
import time:      1065 |       6610 |       sre_compile
import time:       274 |        274 |       _locale
import time:      2505 |       2505 |       copyreg
import time:      1561 |      14066 |     re
import time:      5236 |       5236 |       _json
import time:      2375 |       7610 |     json.scanner
import time:      2160 |      23835 |   json.decoder
import time:      3790 |       3790 |   json.encoder
import time:      2268 |      29892 | json
import time:       134 |        134 |   errno
import time:      2454 |       2454 |   signal
import time:      1778 |       1778 |     _weakrefset
import time:      4832 |       6610 |   threading
import time:      5935 |       5935 |   fcntl
import time:       850 |        850 |   msvcrt
import time:      4444 |       4444 |   _posixsubprocess
import time:      4754 |       4754 |   select
import time:      1321 |       1321 |     collections.abc
import time:      3772 |       3772 |     math
import time:      2054 |       7147 |   selectors
import time:      5661 |      37986 | subprocess
import time:      2345 |       2345 |   shlex
import time:      1436 |       1436 |     fnmatch
import time:      7274 |       7274 |     zlib
import time:       671 |        671 |       _compression
import time:      2918 |       2918 |       _bz2
import time:      3620 |       7209 |     bz2
import time:      2751 |       2751 |       _lzma
import time:      1119 |       3869 |     lzma
import time:      4044 |      23830 |   shutil
import time:      2224 |      28397 | webbrowser
import time:       209 |        209 |     _winapi
import time:       922 |        922 |     nt
import time:       187 |        187 |     nt
import time:       291 |        291 |     nt
import time:       389 |        389 |     nt
import time:       885 |       2881 |   ntpath
import time:      2280 |       2280 |     urllib
import time:      4300 |       6580 |   urllib.parse
import time:      3014 |      12474 | pathlib
import time:      3154 |       3154 |     locale
import time:      4733 |       4733 |     textwrap
import time:      1673 |       1673 |       xml
import time:      1397 |       3070 |     xml.etree
import time:      2467 |       2467 |       xml.etree.ElementPath
import time:      1827 |       1827 |           weakref
import time:       479 |        479 |               org
import time:        48 |        526 |             org.python
import time:       113 |        638 |           org.python.core
import time:      1445 |       3910 |         copy
import time:      5207 |       5207 |         pyexpat
import time:     12348 |      21464 |       _elementtree
import time:      5241 |      29170 |     xml.etree.ElementTree
import time:      2609 |      42734 |   nltk.internals
import time:      2181 |       2181 |   numpypy
import time:      1312 |       1312 |                 token
import time:      3746 |       5057 |               tokenize
import time:       920 |       5977 |             linecache
import time:      1689 |       7665 |           traceback
import time:       118 |        118 |             _string
import time:      1844 |       1962 |           string
import time:       117 |        117 |           atexit
import time:     16614 |      26357 |         logging
import time:      4643 |       4643 |         nltk.metrics.distance
import time:      4571 |       4571 |           array
import time:      8148 |       8148 |               _bisect
import time:      1432 |       9579 |             bisect
import time:      5311 |       5311 |             _random
import time:      4692 |       4692 |             _sha512
import time:      2490 |      22069 |           random
import time:      3323 |      29962 |         nltk.probability
import time:      4796 |      65757 |       nltk.metrics.agreement
import time:      1714 |       1714 |               numpy._utils._convertions
import time:      3247 |       4960 |             numpy._utils
import time:      3445 |       8404 |           numpy._globals
import time:      2421 |       2421 |           numpy.exceptions
import time:      1356 |       1356 |           numpy.version
import time:      1049 |       1049 |             numpy._distributor_init_local
import time:      1387 |       2436 |           numpy._distributor_init
import time:      1634 |       1634 |                     numpy._utils._inspect
import time:      5473 |       5473 |                         _datetime
import time:      3658 |       9131 |                       datetime
import time:      1936 |       1936 |                       numpy.core._exceptions
import time:       882 |        882 |                       numpy.dtypes
import time:     37706 |      49653 |                     numpy.core._multiarray_umath
import time:      1370 |      52656 |                   numpy.core.overrides
import time:      2841 |      55497 |                 numpy.core.multiarray
import time:      3742 |       3742 |                 numpy.core.umath
import time:      1129 |       1129 |                   numbers
import time:      1456 |       1456 |                   numpy.core._string_helpers
import time:       422 |        422 |                         pickle5
import time:      7671 |       7671 |                             _struct
import time:      1792 |       9463 |                           struct
import time:      3474 |       3474 |                           _compat_pickle
import time:     12615 |      12615 |                           _pickle
import time:       768 |        768 |                               org
